"";"Maize";"Rice";"Sorghum";"Millet";"Wheat";"Barley";"Fonio";"Oats";"Teff"
"Dakar";"17.19";"";"11.09";"8.02";"";"";"";"";""
"Diourbel";"20.67";"";"12.27";"8.43";"";"";"";"";""
"Fatick";"20.75";"10.93";"12.25";"8.49";"";"";"";"";""
"Kaffrine";"20.6";"10.85";"11.26";"8.27";"";"";"";"";""
"Kaolack";"20.6";"10.85";"11.26";"8.54";"";"";"11.48";"";""
"Kolda";"17.91";"11.65";"12.45";"10.63";"";"";"11.67";"";""
"Kédougou";"17.95";"11.6";"11.27";"10.63";"";"";"11.74";"";""
"Louga";"17.19";"10.85";"11.18";"8.18";"";"";"";"";""
"Matam";"17.19";"11.15";"11.11";"8.06";"";"";"";"";""
"Saint-Louis";"17.19";"11.15";"11.16";"8.34";"";"";"";"";""
"Sédhiou";"17.93";"12.05";"11.36";"10.68";"";"";"12.04";"";""
"Tambacounda";"17.19";"10.89";"11.22";"8.27";"";"";"11.48";"";""
"Thiès";"17.19";"10.85";"11.14";"8.31";"";"";"";"";""
"Ziguinchor";"17.94";"12.02";"11.4";"10.63";"";"";"";"";""
