Date-Monthly,"Senegal, Retail, Dakar, Millet, CFA Franc BCEAO/kg" Commodity Code: 100820 
Nov-20,290.00
Oct-20,325.00
Sep-20,284.00
Aug-20,288.00
Jul-20,270.00
Jun-20,277.00
May-20,296.00
Apr-20,250.00
Mar-20,238.00
Feb-20,250.00
Jan-20,275.00
Dec-19,250.00
Nov-19,275.00
Oct-19,263.00
Sep-19,283.00
Aug-19,250.00
Jul-19,241.00
Jun-19,238.00
May-19,238.00
Apr-19,238.00
Mar-19,238.00
Feb-19,241.00
Jan-19,244.00
Dec-18,238.00
Nov-18,233.00
Oct-18,250.00
Sep-18,265.00
Aug-18,250.00
Jul-18,238.00
Jun-18,235.00
May-18,225.00
Apr-18,240.00
Mar-18,250.00
Feb-18,257.00
Jan-18,253.00
Dec-17,275.00
Nov-17,275.00
Oct-17,271.00
Sep-17,273.00
Aug-17,250.00
Jul-17,246.00
Jun-17,240.00
May-17,240.00
Apr-17,240.00
Mar-17,229.00
Feb-17,223.00
Jan-17,224.00
Dec-16,224.00
Nov-16,250.00
Oct-16,250.00
Sep-16,250.00
Aug-16,244.00
Jul-16,244.00
Jun-16,218.00
May-16,216.00
Apr-16,216.00
Mar-16,216.00
Feb-16,219.00
Jan-16,219.00
Dec-15,217.50
Nov-15,250.00
Oct-15,255.00
Sep-15,250.00
Aug-15,248.00
Jul-15,248.00
Jun-15,248.00
May-15,240.00
Apr-15,245.00
Mar-15,249.00
Feb-15,247.00
Jan-15,211.00
Dec-14,200.00
Nov-14,225.00
Oct-14,269.00
Sep-14,250.00
Aug-14,250.00
Jul-14,257.00
Jun-14,258.00
May-14,258.00
Apr-14,226.00
Mar-14,263.00
Feb-14,275.00
Jan-14,275.00
Dec-13,268.00
Nov-13,268.00
Oct-13,277.00
Sep-13,238.00
Aug-13,269.00
Jul-13,234.00
Jun-13,254.00
May-13,254.00
Apr-13,267.00
Mar-13,269.00
Feb-13,269.00
Jan-13,249.00
Dec-12,245.00
Nov-12,256.00
Oct-12,253.00
Sep-12,253.00
Aug-12,253.00
Jul-12,250.00
Jun-12,248.00
May-12,246.00
Apr-12,231.00
Mar-12,234.00
Feb-12,256.00
Jan-12,241.00
Dec-11,223.00
Nov-11,221.00
Oct-11,221.00
Sep-11,220.00
Aug-11,220.00
Jul-11,200.00
Jun-11,226.00
May-11,190.00
Apr-11,183.00
Mar-11,182.00
Feb-11,183.00
Jan-11,179.00
Dec-10,179.00
Nov-10,180.00
Oct-10,183.00
Sep-10,200.00
Aug-10,196.00
Jul-10,198.00
Jun-10,201.00
May-10,201.00
Apr-10,201.00
Mar-10,199.00
Feb-10,195.00
Jan-10,206.00
Dec-09,197.00
Nov-09,217.00
Oct-09,213.00
Sep-09,247.00
Aug-09,268.00
Jul-09,228.00
Jun-09,213.00
May-09,215.00
Apr-09,208.00
Mar-09,218.00
Feb-09,225.00
Jan-09,225.00
Dec-08,211.00
Nov-08,212.00
Oct-08,258.00
Sep-08,258.00
Aug-08,244.00
Jul-08,242.00
Jun-08,242.00
May-08,233.00
Apr-08,231.00
Mar-08,231.00
Feb-08,219.00
Jan-08,234.00
Dec-07,213.00
Nov-07,225.00
Oct-07,226.00
Sep-07,228.00
Aug-07,223.00
Jul-07,197.00
Jun-07,186.00
May-07,197.00
Apr-07,194.00
Mar-07,191.00
Feb-07,188.00
Jan-07,183.00
