KEY,ID_menage,crops_cult5,season_cult5,Area_cult5 (ha),QuantityProduced_cult5 (kg),Yield (T/ha),Department,Counties,Village,gpslat,gpslon
uuid:175d5d0c-b1bd-4e83-8a3e-4397db162c86,1.75E+39,Corn,3,0.6,100,0.1666666667,PODOR,MBOLO BIRANE,GANGUEL,,
uuid:ebbf4bb6-bd17-4d13-b754-745f31413322,5.23E+39,Corn,3,0.5,25,0.05,PODOR,MBOLO BIRANE,GANGUEL,16.09368167,-13.84135333
uuid:19618bc8-a888-4d57-9711-66b3f66c83e6,1.96E+39,Corn,1,0.5,900,1.8,BIGNONA,KAFOUNTINE,KAFOUNTINE,12.92356667,-16.73614833
uuid:e968e305-2084-44a2-8d39-a95573eda918,5.97E+39,Corn,3,1.5,25,0.01666666667,MATAM,AGNAM-CIVOL,AGNAM THIODAYE,15.99186333,-13.66519667
uuid:19618bc8-a888-4d57-9711-66b3f66c83e6,1.96E+39,Corn,1,0.5,1250,2.5,BIGNONA,KAFOUNTINE,KAFOUNTINE,12.92356667,-16.73614833
uuid:e968e305-2084-44a2-8d39-a95573eda918,5.97E+39,Corn,3,2,25,0.0125,MATAM,AGNAM-CIVOL,AGNAM THIODAYE,15.99186333,-13.66519667
uuid:3d9bf46e-dacd-48e6-a2d7-efec6126f4e7,3.49E+39,Corn,1,0.5,245,0.49,SEDHIOU,KOUSSY,NIMZATT,,
uuid:e968e305-2084-44a2-8d39-a95573eda918,5.97E+39,Corn,3,4,50,0.0125,MATAM,AGNAM-CIVOL,AGNAM THIODAYE,15.99186333,-13.66519667
uuid:7ba45d03-95df-4406-ae8f-59b6bda3384c,7.21E+39,Corn,1,0.5,25,0.05,KOUNGHEUL,GAINTHE PATHE,YASSI,,
uuid:cde75a45-3455-4173-8704-6540807ed7c6,3.46E+39,Corn,1,1,1100,1.1,NIORO,DAROU SALAM,YALLE KEUR EL HADJI MALICK,13.86870667,-15.826655
uuid:4cc40b43-6738-4a28-a869-9cd92533825a,4.33E+39,Corn,1,2,2500,1.25,KAOLACK,NDIEDIENG,MBOUDAYE SERERE,13.92997667,-16.1813
uuid:000be421-3444-486e-8d1c-23514be2cbde,2.54E+36,Corn,1,0.5,200,0.4,BIGNONA,OUONCK,GHAMOUNE BOULANDOR,12.74920333,-16.04972
uuid:a2a84f4f-75e7-4da4-925f-62ee79ce6a3c,1.22E+39,Corn,1,0.2,80,0.4,BIGNONA,OUONCK,GHAMOUNE BOULANDOR,12.74911833,-16.05031333
uuid:a216ef53-7271-4f25-8488-8296d9f64c3f,1.22E+39,Corn,1,1,700,0.7,SEDHIOU,KOUSSY,NIMZATT,12.88480333,-15.59912333
uuid:20c12693-979c-4331-b40d-2017b8eaee09,2.03E+39,Corn,1,1,400,0.4,KAFFRINE,DIAMAGADIO,MEODIAWENE,13.78936,-15.42250333
uuid:0bf0b565-e760-43ba-8930-3685c90ccaf2,2.60E+38,Corn,1,1,800,0.8,FOUNDIOUGNE,NIORO ALASSANE TALL,H1 KEUR ASSANE,13.85128667,-16.31278
uuid:3a484fd8-61e2-43dc-b910-27d72c137f66,3.15E+39,Corn,1,0.5,100,0.2,BIGNONA,KATABA I,SELETY,13.14666667,-16.57721333
uuid:e0d65d7e-4538-49d6-95a8-56b988380d7f,5.05E+39,Corn,1,2.5,1800,0.72,KAOLACK,NDIAFFATE,DAROU MBITEYENE,13.98589667,-16.13927667
uuid:e18ab021-1a55-4979-a5d2-7fabb4ae6329,5.18E+39,Corn,1,0,600,,BIRKELANE,MABO,MABO,13.91435167,-15.66781167
uuid:82861885-f0b2-4a26-9da1-076304aabd87,8.29E+39,Corn,1,1.4,3000,2.142857143,NIORO,GAINTE KAYE,FAOUROU SERERE,13.85289,-15.91365833
uuid:a0a9da63-1c87-405d-9e7b-1f7fd6355b22,1.02E+39,Corn,1,0.25,100,0.4,GOUDOMP,SIMBANDI BRASSOU,SAMBOUCOUNDA,12.64341667,-15.496445
uuid:a6ab7f70-5eaa-4335-a8f4-5e70508d2520,1.61E+39,Corn,1,0.5,50,0.1,KOUNGHEUL,SALY ESCALE,KOUCOTO (BOUSTANE),13.91832833,-14.97908167
uuid:b6a86987-a241-4ce5-8991-acec918cb5bc,2.62E+39,Corn,1,0.1,50,0.5,BIGNONA,KAFOUNTINE,KAFOUNTINE,12.98279667,-16.71713667
uuid:b6f96ccf-a2bb-449c-ae0c-d19cb65e6415,2.67E+39,Corn,1,0.25,75,0.3,VELINGARA,PAKOUR,PAKOUR,12.76036,-13.96104333
uuid:c1a8fdcd-547a-4da3-84f0-7be7516a71fe,3.12E+39,Corn,1,1,500,0.5,KOUNGHEUL,SALY ESCALE,KOUCOTO (BOUSTANE),13.91993,-14.97767667
uuid:3bc8434e-946a-4dd5-bd7d-6d536c9b3d80,3.24E+39,Corn,3,0.4,300,0.75,MATAM,NABADJI-CIVOL,SEDDO ABBAS,15.77333667,-13.46580167
uuid:c7f91540-f364-48e6-9dc8-649d9580fb2a,3.77E+39,Corn,1,0,40,,MALEM HODDAR,SAGNA,Maka Bella,14.10919,-15.235515
uuid:42422a66-1cc4-4769-a637-1e086bfcf2e3,4.24E+39,Corn,1,0.25,300,1.2,BOUNKILING,TANKON,TANKON,,
uuid:43c99388-c94a-41ec-a993-07a13aca8959,4.34E+39,Corn,1,1.5,400,0.2666666667,KOUNGHEUL,GAINTHE PATHE,LOUMBOL,,
uuid:0d4d1887-fbd6-48c3-aabc-f39d3addca28,4.44E+38,Corn,1,0.5,1000,2,VELINGARA,KANDIAYE,SARE YORO GANO,12.99264,-14.07191167
uuid:4fce0b2e-c94a-44fe-893c-3cc5b274dc36,4.64E+39,Corn,1,0.25,240,0.96,MEDINA YORO FOULAH,KEREWANE,A�NOUMANE,13.40603333,-14.86523333
uuid:489914db-0dc3-44d7-8209-993b6aa1de81,4.90E+39,Corn,1,0.5,104,0.208,MEDINA YORO FOULAH,KEREWANE,A�NOUMANE,13.40463833,-14.874025
uuid:eaa2a800-f5d8-48b6-bfd2-2433f2a2f684,5.11E+39,Corn,1,1,70,0.07,MATAM,AGNAM-CIVOL,AGNAM THIODAYE,15.991635,-13.66777833
uuid:e968e305-2084-44a2-8d39-a95573eda918,5.97E+39,Corn,3,4,100,0.025,MATAM,AGNAM-CIVOL,AGNAM THIODAYE,15.99186333,-13.66519667
